"id_dataset","full_text","text_bersih","hasil_sentistrength","label_sentistrength","class"
"108","""Pendaftaran program kartu Prakerja gelombang 67 dibuka hari ini Jumat (3/5/2024). Penerima bisa mendapat biaya pelatihan dan insentif total Rp4 2 juta. https://t.co/fkoeWgeDvR""",,,,
"109","""@Gojekmilitan Ehh...iya yaak ada Kartu Prakerja ada KIP ....masih banyak lagi dah kalo ane tulis di sini...tapi ah 2 aj dah""",,,,
"110","""Pendaftaran Kartu Prakerja gelombang 67 resmi dibuka hari ini Jumat (3/5/2024). Berikut syarat dan cara daftar Kartu Prakerja Gelombang 67. https://t.co/F6D62KdUgI""",,,,
"111","""Dengan berbagai utilitas yang diberikan bagi penerima manfaat Program Kartu Prakerja berhasil mendapat prestasi di kompetisi Wenhui Award dengan meraih Honourable Mention untuk Inovasi Pendidikan. #GolkarIndonesia #AirlanggaHartarto #PartaiGolkar https://t.co/qNZGdBbZZ8""",,,,
"112","""Mau daftar kartu prakerja tapi ada kendala di bagian No KK (kartu keluarga) salah . Ngechat admin Dukcapil &amp	 Prakerja ga ditanggepin BOT semua anjengg. Hidup di Indonesia serba BOT kntol emng""",,,,
"113","""Gelombang 67 Program Kartu Prakerja Telah Dibuka Ini Syaratnya https://t.co/rZ0sChxFSv https://t.co/rJyLzmZrqo""",,,,
"114","""Hello sobat prakerja Gelombang 67 kartu prakerja udah dibuka nih yuk buruan yg berminat dan memenuhi syarat bisa daftar ya. Atau yg udah punya akun tapi belum lolos bisa juga coba lagi dengan klik GABUNG GELOMBANG. For more info bisa dm/klik link di bio #zonauangï¸ #KIPK https://t.co/nqvMdUK69c""",,,,
"115","""Pendaftaran Kartu Prakerja Gelombang 67 Dibuka! Insentif Rp4 2 Juta Ini Link dan Cara Daftarnya https://t.co/YXqdGZaY3P""",,,,
"116","""Bagi calon peserta Kartu Prakerja yang belum memiliki akun Prakerja dapat membuatnya melalui website https://t.co/WIuLWttbCz. https://t.co/gkP4AlRgMc""",,,,
"117","""Pelatihan Prakerja by The Bencoolen Coffee telah diikuti oleh 34.000 alumni kartu prakerja. Untuk kalian yang ingin menjadi wirausaha di bidang kopi kekinian tim kami akan membimbing kalian sampai bisa membuka usaha kalian sendiri. https://t.co/JXUu0GkbK6""",,,,
"118","""Pelatihan Prakerja by The Bencoolen Coffee telah diikuti oleh 34.000 alumni kartu prakerja. Untuk kalian yang ingin menjadi wirausaha di bidang kopi kekinian tim kami akan membimbing kalian sampai bisa membuka usaha kalian sendiri. https://t.co/HcRKNhPJAO""",,,,
"119","""Info Terbaru: PNS Kini Boleh Ikut Program Kartu Prakerja https://t.co/9mtsUzDoWL""",,,,
"120","""Kartu Prakerja Gelombang 67 Kembali Dibuka: Waktunya Tingkatkan Skill dan Raih Jutaan Rupiah! Daftar Sekarang! https://t.co/cAdv0GlIsW""",,,,
"121","""Program Kartu Prakerja raih penghargaan Wenhui Awards dari UNESCO https://t.co/oilYUcS4qJ""",,,,
"122","""Kembali Dibuka! Kartu Prakerja Gelombang 67: Tingkatkan Keterampilan Dapatkan Bantuan Rp3.5 Juta! https://t.co/s8X7XnCQFa""",,,,
"123","""Program Kartu Prakerja Raih Penghargaan UNESCO https://t.co/GGoEGafdIq https://t.co/rYfzio5rXa""",,,,
"124","""@tanyakanrl Kartu prakerja apalagi """,,,,
"125","""Dibuka Bulan Ini Begini Cara dan Syarat Pendaftaran Kartu Prakerja Gelombang 67 https://t.co/Cm42hp8y3K""",,,,
"126","""Cek Kartu Prakerja dengan NIK Mudah Hanya dengan Ponsel via @Kabarpatimbancom - https://t.co/AdM4aJzBWt""",,,,
